id,name
0,WC
1,3F Superliga (DEN 1)
4,1A Pro League (BEL 1)
10,Eredivisie
13,Premier League
14,EFL Championship (ENG 2)
16,Ligue 1
17,Ligue 2 (FRA 2)
19,Bundesliga
20,Bundesliga 2 (GER 2)
31,Serie A TIM
32,Italy Serie B (2)
39,Major League Soccer
41,Eliteserien (NOR 1)
50,Scottish Premiership (SPFL)
53,LaLiga Santander
54,LaLiga SmartBank (ESP 2)
56,Allsvenskan (SWE 1)
60,EFL League One (ENG 3)
61,EFL League Two (ENG 4)
63,Hellas Liga (GRE 1)
65,SSE Airtricity League (IRL 1)
66,Polski Ekstraklasa (POL 1)
68,Süper Lig (TUR 1)
80,Ö Bundesliga (AUT 1)
83,K League 1 (KOR 1)
189,Raiffeisen Super L. (SUI 1)
308,Liga NOS (POR 1)
317,Liga Hrvatska (CRO 1)
319,Česká Liga (CZE 1)
322,Finnliiga (FIN 1)
330,Liga I (ROM 1)
332,Ukrayina Liha (UKR 1)
347,South African FL (RSA 1)
350,MBS Pro League (SAU 1)
351,A-League (AUS 1)
353,Primera División (ARG 1)
1003,CONMEBOL Libertadores
1014,CONMEBOL Sudamericana
1990,World Cup
2012,Chinese FA Super L. (CHN 1)
2076,3. Liga (GER 3)
2118,Icons
2149,Indian Super League (IND 1)
2172,United Emirates L. (UAE 1)
2179,Calcio B (ITA 2)
2208,National League (ENG 5)
2209,Liga Dimayor II
2210,Protathlima Cyta (CYP 1)
2211,Nemzetti Bajnoksag (HUN 1)
